"settlementDate","symbolCode","issueName","marketClassCode","currentShortPositionQuantity","previousShortPositionQuantity","averageDailyVolumeQuantity","daysToCoverQuantity","stockSplitFlag","revisionFlag"
"2021-09-15","MDLZ","Mondelez International, Inc. C","NNM","13257941","13527845","5628530","2.36",,
"2021-09-15","MDT","Medtronic plc","NYSE","8778743","10620070","3413892","2.57",,
"2021-09-15","META","Roundhill Ball Metaverse ETF","ARCA","173405","59550","410770","1.00",,
"2021-09-15","MMM","3M Company","NYSE","11585487","10649972","3122234","3.71",,
"2021-09-15","MNST","Monster Beverage Corporation","NNM","4132343","4540570","1271935","3.25",,
"2021-09-15","MO","Altria Group, Inc.","NYSE","13790614","11418709","7336178","1.88",,
"2021-09-15","MPC","MARATHON PETROLEUM CORPORATION","NYSE","18412856","17432395","5751692","3.20",,
"2021-09-15","MPWR","Monolithic Power Systems, Inc.","NNM","871849","1003230","307856","2.83",,
"2021-09-15","MRK","Merck & Co., Inc.","NYSE","28180728","27417143","10931927","2.58",,
"2021-09-15","MRVL","Marvell Technology, Inc. Commo","NNM","13972128","16556100","3720062","3.76",,
"2021-09-15","MS","Morgan Stanley","NYSE","19016612","20717362","6436905","2.95",,
"2021-09-15","MSFT","Microsoft Corporation Common S","NNM","44204519","45696881","19545901","2.26",,
"2021-09-15","MSI","Motorola Solutions, Inc. New","NYSE","2028825","2083563","715663","2.83",,
"2021-09-15","MU","Micron Technology, Inc. Common","NNM","27314594","25385564","14495178","1.88",,
"2021-09-15","NEE","Nextra Energy, Inc.","NYSE","23212812","20799041","5520833","4.20",,
"2021-09-15","NEM","Newmont Corporation","NYSE","7659715","7210226","5089763","1.50",,
"2021-09-15","NET","Cloudflare, Inc. Class A commo","NYSE","9667588","9633973","2578189","3.75",,
"2021-09-15","NFLX","Netflix, Inc. Common Stock","NNM","10290955","10187662","4170243","2.47",,
"2021-09-15","NKE","Nike, Inc.","NYSE","11743133","10664545","5946713","1.97",,
"2021-09-15","NOC","Northrop Grumman Corp.","NYSE","1773023","1516383","701952","2.53",,
"2021-09-15","NOW","SERVICENOW, INC.","NYSE","3420031","3682730","1043781","3.28",,
"2021-09-15","NSC","Norfolk Southern Corp.","NYSE","3466912","3050431","1322281","2.62",,
"2021-09-15","NVDA","NVIDIA Corporation Common Stoc","NNM","22682883","24041114","22293396","1.02",,
"2021-09-15","O","Realty Income Corporation","NYSE","26089604","26375629","4214314","6.19",,
"2021-09-15","ORCL","Oracle Corp","NYSE","33794997","33299003","12241103","2.76",,
"2021-09-15","ORLY","O'Reilly Automotive, Inc. Comm","NNM","997836","962717","431146","2.31",,
"2021-09-15","PANW","PALO ALTO NETWORKS, INC","NYSE","5706746","5947406","1400070","4.08",,
"2021-09-15","PCAR","PACCAR Inc. Common Stock","NNM","7465610","6002882","2701807","2.76",,
"2021-09-15","PEP","PepsiCo, Inc. Common Stock","NNM","11719157","9287931","3416767","3.43",,
"2021-09-15","PFE","Pfizer Inc.","NYSE","54093535","58674931","25431861","2.13",,
"2021-09-15","PG","Procter & Gamble Company","NYSE","20579603","17472019","6461923","3.18",,
"2021-09-15","PGR","Progressive Corporation","NYSE","11385241","10999347","2110267","5.40",,
"2021-09-15","PH","Parker-Hannifin Corporation","NYSE","1340720","972938","827296","1.62",,
"2021-09-15","PLD","PROLOGIS, INC.","NYSE","8177187","9486645","2387207","3.43",,
"2021-09-15","PLTR","Palantir Technologies Inc. Cla","NYSE","54489052","61405734","38780202","1.41",,
"2021-09-15","PM","Philip Morris International In","NYSE","9182486","7888443","4370154","2.10",,
"2021-09-15","PNC","PNC Financial Services Group","NYSE","5131727","4933867","1868741","2.75",,
"2021-09-15","PSX","PHILLIPS 66","NYSE","7575870","7646673","2963949","2.56",,
"2021-09-15","PWR","Quanta Services, Inc.","NYSE","2685010","2860762","1541358","1.74",,
"2021-09-15","QCOM","QUALCOMM Incorporated Common S","NNM","14631601","12590656","6467731","2.26",,
"2021-09-15","RCL","Royal Caribbean Group","NYSE","14398387","14770436","3396095","4.24",,
"2021-09-15","REGN","Regeneron Pharmaceuticals, Inc","NNM","1571172","1361400","727486","2.16",,
"2021-09-15","ROST","Ross Stores, Inc. Common Stock","NNM","3447804","3114948","1532060","2.25",,
"2021-09-15","RSG","Republic Services Inc.","NYSE","2042135","2358483","971998","2.10",,
"2021-09-15","RTX","Raytheon Technologies Corporat","NYSE","16023314","15245930","4460477","3.59",,
"2021-09-15","SBUX","Starbucks Corporation Common S","NNM","10948320","9382422","5270360","2.08",,
"2021-09-15","SCCO","Southern Copper Corporation","NYSE","3897683","4023414","683255","5.70",,
"2021-09-15","SCHW","The Charles Schwab Corporation","NYSE","14546265","14368744","3990422","3.65",,
"2021-09-15","SHW","The Sherwin-Williams Company","NYSE","2851320","2674480","1068681","2.67",,
"2021-09-15","SNOW","Snowflake Inc.","NYSE","11422635","10930450","4258048","2.68",,
"2021-09-15","SNPS","Synopsys, Inc. Common Stock","NNM","1563857","1577777","595149","2.63",,
"2021-09-15","SO","The Southern Company","NYSE","11971296","11460662","3932916","3.04",,
"2021-09-15","SPCX","The SPAC and New Issue ETF","ARCA","248876","263552","23674","10.51",,
"2021-09-15","SPG","Simon Property Group, Inc.","NYSE","13377345","12912035","1682167","7.95",,
"2021-09-15","SPGI","S&P Global Inc.","NYSE","17219559","16947156","988942","17.41",,
"2021-09-15","SYK","Stryker Corporation","NYSE","3494820","3412146","941613","3.71",,
"2021-09-15","T","AT&T Inc.","NYSE","112923466","109503649","33142901","3.41",,
"2021-09-15","TDG","TransDigm Group Incorporated","NYSE","2088500","1995735","261294","7.99",,
"2021-09-15","TFC","Truist Financial Corporation","NYSE","12492502","11444964","4045959","3.09",,
"2021-09-15","TGT","Target Corporation","NYSE","8412825","8853933","2546174","3.30",,
"2021-09-15","TJX","TJX Companies, Inc. (The)","NYSE","9643322","9902928","6002310","1.61",,
"2021-09-15","TMO","Thermo Fisher Scientific, Inc.","NYSE","2586833","2686268","1078927","2.40",,
"2021-09-15","TMUS","T-Mobile US, Inc. Common Stock","NNM","21878790","9709194","5637419","3.88",,
"2021-09-15","TRV","The Travelers Companies, Inc.","NYSE","4269478","4384511","1100164","3.88",,
"2021-09-15","TSLA","Tesla, Inc. Common Stock","NNM","26999741","27432219","16561475","1.63",,
"2021-09-15","TXN","Texas Instruments Incorporated","NNM","13625372","13559643","2902749","4.69",,
"2021-09-15","UBER","Uber Technologies, Inc.","NYSE","80148652","79553204","22028360","3.64",,
"2021-09-15","UNH","UNITEDHEALTH GROUP INCORPORATE","NYSE","6220128","6393679","2781341","2.24",,
"2021-09-15","UNP","Union Pacific Corp.","NYSE","7881189","5942200","3815263","2.07",,
"2021-09-15","UPS","United Parcel Service, Inc. Cl","NYSE","7456958","7967120","2314927","3.22",,
"2021-09-15","URI","United Rentals, Inc.","NYSE","1469216","1405129","465077","3.16",,
"2021-09-15","USB","U.S. Bancorp","NYSE","11796901","12751847","5088649","2.32",,
"2021-09-15","V","VISA Inc.","NYSE","26474673","25104183","9223725","2.87",,
"2021-09-15","VLO","Valero Energy Corporation","NYSE","12814413","12255141","3466193","3.70",,
"2021-09-15","VRT","Vertiv Holdings Co Class A Com","NYSE","12448234","13055325","2897003","4.30",,
"2021-09-15","VRTX","Vertex Pharmaceuticals Incorpo","NNM","4958803","4829182","1256445","3.95",,
"2021-09-15","VZ","Verizon Communications","NYSE","54015371","55649827","15223657","3.55",,
"2021-09-15","WDC","Western Digital Corporation Co","NNM","8507176","8048364","3635828","2.34",,
"2021-09-15","WELL","Welltower Inc.","NYSE","11096222","11633377","2140093","5.18",,
"2021-09-15","WFC","Wells Fargo & Co.","NYSE","47048930","47384692","32407954","1.45",,
"2021-09-15","WM","Waste Management, Inc.","NYSE","3772073","3829692","1475100","2.56",,
"2021-09-15","WMB","Williams Companies Inc.","NYSE","23790275","20366536","8886918","2.68",,
"2021-09-15","WMT","Walmart Inc.","NYSE","16538897","17335005","6339123","2.61",,
"2021-09-15","XOM","Exxon Mobil Corporation","NYSE","39523082","41211862","19137523","2.07",,
"2021-05-14","AAPL","Apple Inc. Common Stock","NNM","94747255","82710348","88622352","1.07",,
"2021-05-14","ABBV","ABBVIE INC.","NYSE","15283843","14886118","6093397","2.51",,
"2021-05-14","ABNB","Airbnb, Inc. Class A Common St","NNM","27438891","22563408","5923148","4.63",,
"2021-05-14","ABT","Abbott Laboratories","NYSE","14203592","13986254","4529230","3.14",,
"2021-05-14","ADBE","Adobe Inc. Common Stock","NNM","4873687","5424898","1856687","2.62",,
"2021-05-14","ADI","Analog Devices, Inc. Common St","NNM","37904731","36071373","3649229","10.39",,
"2021-05-14","ADP","Automatic Data Processing, Inc","NNM","4811911","3767916","1760734","2.73",,
"2021-05-14","AEP","American Electric Power Compan","NNM","9206061","6933878","2803218","3.28",,
"2021-05-14","AFL","Aflac Inc.","NYSE","12312002","11152538","2771633","4.44",,
"2021-05-14","AJG","Arthur J. Gallagher & Co.","NYSE","2483622","2162386","1277967","1.94",,
"2021-05-14","ALL","The Allstate Corporation","NYSE","4004880","4054647","1891515","2.12",,
"2021-05-14","AMAT","Applied Materials, Inc. Common","NNM","13334281","12181241","10243343","1.30",,
"2021-05-14","AMD","Advanced Micro Devices, Inc. C","NNM","84074854","85224498","43056227","1.95",,
"2021-05-14","AMGN","Amgen Inc. Common Stock","NNM","11460500","10614036","2720040","4.21",,
"2021-05-14","AMT","American Tower Corporation","NYSE","3380228","3160213","2334347","1.45",,
"2021-05-14","AMZN","Amazon.com, Inc. Common Stock","NNM","4812315","4772237","4279604","1.12",,
"2021-05-14","ANET","Arista Networks","NYSE","1622897","1802288","446218","3.64",,
"2021-05-14","AON","Aon plc Class A","NYSE","26934687","25874247","1401083","19.22",,
"2021-05-14","APD","Air Products & Chemicals, Inc.","NYSE","1984604","1729404","956658","2.07",,
"2021-05-14","APH","Amphenol Corporation","NYSE","5518029","4872351","2491009","2.22",,
"2021-05-14","APO","Apollo Global Management, Inc.","NYSE","18226362","18186392","2372591","7.68",,
"2021-05-14","APP","Applovin Corporation Class A C","NNM","4517378","3523965","968761","4.66",,
"2021-05-14","AVGO","Broadcom Inc. Common Stock","NNM","4059542","4017048","1743404","2.33",,
"2021-05-14","AXP","American Express Company","NYSE","6748896","6681433","2600823","2.59",,
"2021-05-14","BA","Boeing Company","NYSE","9987747","10616163","12343566","1.00",,
"2021-05-14","BAC","Bank of America Corporation","NYSE","90250536","80352138","37117628","2.43",,
"2021-05-14","BKNG","Booking Holdings Inc. Common S","NNM","686114","742922","321879","2.13",,
"2021-05-14","BLK","Blackrock, Inc.","NYSE","1903793","1795253","507279","3.75",,
"2021-05-14","BMY","Bristol-Myers Squibb Co.","NYSE","15986785","20969548","8943336","1.79",,
"2021-05-14","BNY","BlackRock New York Municipal I","NYSE","2875","12271","80515","1.00",,
"2021-05-14","BRKA","Berkshire Hathaway Inc.","NYSE","557","556","2315","1.00",,
"2021-05-14","BRKB","BERKSHIRE HATHAWAY Class B","NYSE","10621011","8992062","4665132","2.28",,
"2021-05-14","BSX","Boston Scientific Corp.","NYSE","11741620","16618349","6732467","1.74",,
"2021-05-14","BX","The Blackstone Group Inc.","NYSE","6762279","8453481","3005432","2.25",,
"2021-05-14","C","Citigroup Inc.","NYSE","26402927","24595159","16835010","1.57",,
"2021-05-14","CAT","Caterpillar Inc.","NYSE","5823732","6104838","3031152","1.92",,
"2021-05-14","CDNS","Cadence Design Systems, Inc. C","NNM","3061852","2728695","1545218","1.98",,
"2021-05-14","CI","CIGNA Corporation","NYSE","5623901","5090661","1471056","3.82",,
"2021-05-14","CL","Colgate-Palmolive Company","NYSE","7234884","7770897","3394832","2.13",,
"2021-05-14","CMCSA","Comcast Corporation Class A Co","NNM","73317259","72102172","15758386","4.65",,
"2021-05-14","CME","CME Group Inc. Class A Common","NNM","5450305","5063789","1488184","3.66",,
"2021-05-14","CMI","Cummins Inc.","NYSE","2973777","3244796","873547","3.40",,
"2021-05-14","COF","Capital One Financial","NYSE","5518293","4434682","2891869","1.91",,
"2021-05-14","COP","ConocoPhillips","NYSE","13471990","12105521","8253810","1.63",,
"2021-05-14","COST","Costco Wholesale Corporation C","NNM","4287622","3889460","1931263","2.22",,
"2021-05-14","CRM","salesforce.com, inc.","NYSE","25303073","22624599","4839687","5.23",,
"2021-05-14","CRWD","CrowdStrike Holdings, Inc. Cla","NNM","12901764","11984213","3296963","3.91",,
"2021-05-14","CSCO","Cisco Systems, Inc. Common Sto","NNM","39133739","44095877","18064631","2.17",,
"2021-05-14","CSX","CSX Corporation Common Stock","NNM","6304328","6278480","3141775","2.01",,
"2021-05-14","CTAS","Cintas Corporation Common Stoc","NNM","888496","798246","379379","2.34",,
"2021-05-14","CVNA","Carvana Co.","NYSE","16596440","17987399","2108225","7.87",,
"2021-05-14","CVS","CVS HEALTH CORPORATION","NYSE","20085296","16379944","8457040","2.37",,
"2021-05-14","CVX","Chevron Corporation","NYSE","16468871","17589422","9161464","1.80",,
"2021-05-14","D","Dominion Energy, Inc Common St","NYSE","8009847","8456041","3053437","2.62",,
"2021-05-14","DASH","DoorDash, Inc.","NYSE","14852687","13421158","2696954","5.51",,
"2021-05-14","DDOG","Datadog, Inc. Class A Common S","NNM","15727486","13809148","3813478","4.12",,
"2021-05-14","DE","Deere & Company","NYSE","2736975","2365173","1366164","2.00",,
"2021-05-14","DELL","Dell Technologies Inc.","NYSE","7302834","6857974","1933681","3.78",,
"2021-05-14","DHR","Danaher Corporation","NYSE","5734861","5792079","1612340","3.56",,
"2021-05-14","DIS","The Walt Disney Company","NYSE","21156092","21514372","7294834","2.90",,
"2021-05-14","DLR","Digital Realty Trust, Inc.","NYSE","8540084","8500300","1187352","7.19",,
"2021-05-14","DUK","Duke Energy Corporation","NYSE","7636051","6946156","3652262","2.09",,
"2021-05-14","ECL","Ecolab, Inc.","NYSE","2177376","2046871","773738","2.81",,
"2021-05-14","EMR","Emerson Electric Co.","NYSE","7381049","6985804","2852534","2.59",,
"2021-05-14","EOG","EOG Resources, Inc.","NYSE","8426038","9315434","4310458","1.95",,
"2021-05-14","EPD","Enterprise Products Partners L","NYSE","37521324","32720245","6988240","5.37",,
"2021-05-14","EQIX","Equinix, Inc. Common Stock REI","NNM","860712","1101608","413351","2.08",,
"2021-05-14","FCX","Freeport-McMoran Inc.","NYSE","28427491","20547991","29543445","1.00",,
"2021-05-14","FDX","FedEx Corporation","NYSE","3444640","3135038","2040855","1.69",,
"2021-05-14","FTNT","Fortinet, Inc. Common Stock","NNM","2605319","2713610","1023403","2.55",,
"2021-05-14","GD","General Dynamics Corporation","NYSE","2453022","2768273","1083484","2.26",,
"2021-05-14","GE","General Electric Company","NYSE","111292388","97486962","56312375","1.98",,
"2021-05-14","GILD","Gilead Sciences, Inc. Common S","NNM","25719713","28642716","7007428","3.67",,
"2021-05-14","GLW","Corning Incorporated","NYSE","8441618","7281543","3838944","2.20",,
"2021-05-14","GM","General Motors Company","NYSE","18641041","15191287","15386340","1.21",,
"2021-05-14","GOOG","Alphabet Inc. Class C Capital","NNM","2479034","2825801","1265191","1.96",,
"2021-05-14","GOOGL","Alphabet Inc. Class A Common S","NNM","2973838","3024797","1485869","2.00",,
"2021-05-14","GS","Goldman Sachs Group Inc.","NYSE","4971898","4390274","2634362","1.89",,
