"settlementDate","symbolCode","issueName","marketClassCode","currentShortPositionQuantity","previousShortPositionQuantity","averageDailyVolumeQuantity","daysToCoverQuantity","stockSplitFlag","revisionFlag"
"2022-09-15","ECL","Ecolab, Inc.","NYSE","2791675","2901996","1367872","2.04",,
"2022-09-15","ELV","Elevance Health, Inc.","NYSE","2682404","2082862","838041","3.20",,
"2022-09-15","EMR","Emerson Electric Co.","NYSE","4747047","5133692","2793870","1.70",,
"2022-09-15","EOG","EOG Resources, Inc.","NYSE","7057851","6949451","3085672","2.29",,
"2022-09-15","EPD","Enterprise Products Partners L","NYSE","27549967","25686017","4176300","6.60",,
"2022-09-15","EQIX","Equinix, Inc. Common Stock REI","NNM","1104415","1095056","316351","3.49",,
"2022-09-15","FCX","Freeport-McMoran Inc.","NYSE","30807519","29463253","16597024","1.86",,
"2022-09-15","FDX","FedEx Corporation","NYSE","3614518","3284797","2113723","1.71",,
"2022-09-15","FTNT","Fortinet, Inc. Common Stock","NNM","12160146","9122814","6010350","2.02",,
"2022-09-15","GD","General Dynamics Corporation","NYSE","2727204","2816415","1098475","2.48",,
"2022-09-15","GE","General Electric Company","NYSE","10735651","10063878","5243864","2.05",,
"2022-09-15","GILD","Gilead Sciences, Inc. Common S","NNM","16688625","16765934","9127532","1.83",,
"2022-09-15","GLW","Corning Incorporated","NYSE","10749929","10197684","5625187","1.91",,
"2022-09-15","GM","General Motors Company","NYSE","26682044","22656198","14805795","1.80",,
"2022-09-15","GOOG","Alphabet Inc. Class C Capital","NNM","39793150","38619611","23144846","1.72",,
"2022-09-15","GOOGL","Alphabet Inc. Class A Common S","NNM","62786677","56071047","26953522","2.33",,
"2022-09-15","GS","Goldman Sachs Group Inc.","NYSE","5057458","5013207","1731487","2.92",,
"2022-09-15","GWW","W.W. Grainger, Inc.","NYSE","1210955","1094739","311884","3.88",,
"2022-09-15","HCA","HCA Healthcare, Inc.","NYSE","4359417","3950735","1444838","3.02",,
"2022-09-15","HD","Home Depot, Inc.","NYSE","9493634","7599560","3561590","2.67",,
"2022-09-15","HLT","Hilton Worldwide Holdings Inc.","NYSE","4921957","5410629","1778575","2.77",,
"2022-09-15","HON","Honeywell International Inc. C","NNM","5630526","5671515","3220443","1.75",,
"2022-09-15","HOOD","Robinhood Markets, Inc. Class","NNM","37880198","37606481","12884046","2.94",,
"2022-09-15","HPE","Hewlett Packard Enterprise Com","NYSE","30197679","23779219","13587676","2.22",,
"2022-09-15","HWM","Howmet Aerospace Inc.","NYSE","7405185","7629227","2673340","2.77",,
"2022-09-15","IBKR","Interactive Brokers Group, Inc","NNM","2532019","1924546","1350964","1.87",,
"2022-09-15","IBM","International Business Machine","NYSE","25758305","23817990","3571112","7.21",,
"2022-09-15","ICE","Intercontinental Exchange  Inc","NYSE","4749723","4889349","2234168","2.13",,
"2022-09-15","INTC","Intel Corporation Common Stock","NNM","64986519","56409605","41623601","1.56",,
"2022-09-15","INTU","Intuit Inc. Common Stock","NNM","2411685","2265504","1425196","1.69",,
"2022-09-15","ISRG","Intuitive Surgical, Inc. Commo","NNM","4400867","6154882","1709811","2.57",,
"2022-09-15","ITW","Illinois Tool Works Inc.","NYSE","6098905","5008884","1292385","4.72",,
"2022-09-15","JNJ","Johnson & Johnson","NYSE","14135872","12185258","6641667","2.13",,
"2022-09-15","JPM","JPMorgan Chase & Co.","NYSE","21769677","20192388","10346977","2.10",,
"2022-09-15","KKR","KKR & Co. Inc.","NYSE","11286188","9656523","2945046","3.83",,
"2022-09-15","KLAC","KLA Corporation Common Stock","NNM","5103706","5511719","1673672","3.05",,
"2022-09-15","KMI","Kinder Morgan, Inc.","NYSE","32908374","34535628","16793089","1.96",,
"2022-09-15","KO","Coca-Cola Company","NYSE","30588458","26862720","13716467","2.23",,
"2022-09-15","LIN","Linde plc Ordinary Share","NYSE","3803952","3449588","1895211","2.01",,
"2022-09-15","LLY","Eli Lilly & Co.","NYSE","5329487","5177973","2310595","2.31",,
"2022-09-15","LMT","Lockheed Martin Corp.","NYSE","2750688","2244834","1159905","2.37",,
"2022-09-15","LOW","Lowe's Companies Inc.","NYSE","14165279","16689831","3551776","3.99",,
"2022-09-15","LRCX","Lam Research Corporation Commo","NNM","1956032","1833615","1334930","1.47",,
"2022-09-15","MA","Mastercard Incorporated","NYSE","4242151","4005986","2196220","1.93",,
"2022-09-15","MAR","Marriott International Class A","NNM","4740824","4557496","1853197","2.56",,
"2022-09-15","MCD","McDonald's Corporation","NYSE","6576822","5651733","2550049","2.58",,
"2022-09-15","MCK","McKesson Corporation","NYSE","2622169","2346450","1079398","2.43",,
"2022-09-15","MCO","Moody's Corporation","NYSE","2890065","2731308","591457","4.89",,
"2022-09-15","MDLZ","Mondelez International, Inc. C","NNM","15356132","13967867","7023947","2.19",,
"2022-09-15","MDT","Medtronic plc","NYSE","7923913","9427116","6732869","1.18",,
"2022-09-15","META","Meta Platforms, Inc. Class A C","NNM","29752984","26001739","27849454","1.07",,
"2022-09-15","MMM","3M Company","NYSE","19250841","103797531","20006014","1.00",,
"2022-09-15","MNST","Monster Beverage Corporation","NNM","6793112","5815529","2438350","2.79",,
"2022-09-15","MO","Altria Group, Inc.","NYSE","18597542","16982770","10399635","1.79",,
"2022-09-15","MPC","MARATHON PETROLEUM CORPORATION","NYSE","16683553","16426015","4725728","3.53",,
"2022-09-15","MPWR","Monolithic Power Systems, Inc.","NNM","1376907","1183457","567572","2.43",,
"2022-09-15","MRK","Merck & Co., Inc.","NYSE","19448809","19293573","7590986","2.56",,
"2022-09-15","MRVL","Marvell Technology, Inc. Commo","NNM","17950115","16773194","10753213","1.67",,
"2022-09-15","MS","Morgan Stanley","NYSE","23057201","26995830","8365692","2.76",,
"2022-09-15","MSFT","Microsoft Corporation Common S","NNM","42967330","40544332","24114423","1.78",,
"2022-09-15","MSI","Motorola Solutions, Inc. New","NYSE","1532269","1190445","714916","2.14",,
"2022-09-15","MU","Micron Technology, Inc. Common","NNM","32641019","31969181","16013230","2.04",,
"2022-09-15","NEE","Nextra Energy, Inc.","NYSE","19468185","29645410","8584115","2.27",,
"2022-09-15","NEM","Newmont Corporation","NYSE","15940233","11718781","10062008","1.58",,
"2022-09-15","NET","Cloudflare, Inc. Class A commo","NYSE","12078524","12802896","4260859","2.83",,
"2022-09-15","NFLX","Netflix, Inc. Common Stock","NNM","9743379","9491924","8583366","1.14",,
"2022-09-15","NKE","Nike, Inc.","NYSE","17246533","14376342","6283476","2.74",,
"2022-09-15","NOC","Northrop Grumman Corp.","NYSE","1731883","1609835","711772","2.43",,
