"settlementDate","symbolCode","issueName","marketClassCode","currentShortPositionQuantity","previousShortPositionQuantity","averageDailyVolumeQuantity","daysToCoverQuantity","stockSplitFlag","revisionFlag"
"2019-01-15","JNJ","Johnson & Johnson","NYSE","14012467","15719662","7437205","1.88",,
"2019-01-15","JPM","JPMorgan Chase & Co.","NYSE","20243844","22015178","16971189","1.19",,
"2019-01-15","KKR","KKR & Co. Inc. Class A Common","NYSE","9154479","8630107","3576873","2.56",,
"2019-01-15","KLAC","KLA-Tencor Corporation Common","NNM","5872126","5869281","1300791","4.51",,
"2019-01-15","KMI","Kinder Morgan, Inc.","NYSE","47127624","53726662","17855647","2.64",,
"2019-01-15","KO","Coca-Cola Company","NYSE","26071117","29811027","13584316","1.92",,
"2019-01-15","LIN","Linde plc Ordinary Share","NYSE","7497992","7101221","1902043","3.94",,
"2019-01-15","LLY","Eli Lilly & Co.","NYSE","30267873","9298021","4767759","6.35",,
"2019-01-15","LMT","Lockheed Martin Corp.","NYSE","2266606","2417414","1374994","1.65",,
"2019-01-15","LOW","Lowe's Companies Inc.","NYSE","11396281","12302041","4337504","2.63",,
"2019-01-15","LRCX","Lam Research Corporation Commo","NNM","8737576","8594548","2241121","3.90",,
"2019-01-15","MA","Mastercard Incorporated","NYSE","7181966","7480217","4189251","1.71",,
"2019-01-15","MAR","Marriott International Class A","NNM","7098544","7419511","2079170","3.41",,
"2019-01-15","MCD","McDonald's Corporation","NYSE","6354142","6209765","2899292","2.19",,
"2019-01-15","MCK","McKesson Corporation","NYSE","4962078","3886531","1839456","2.70",,
"2019-01-15","MCO","Moody's Corporation","NYSE","6179872","5316688","1039283","5.95",,
"2019-01-15","MDLZ","Mondelez International, Inc. C","NNM","11317028","13166768","7852037","1.44",,
"2019-01-15","MDT","Medtronic plc","NYSE","8345939","8463289","8125517","1.03",,
"2019-01-15","MMM","3M Company","NYSE","8502753","8481374","2458552","3.46",,
"2019-01-15","MNST","Monster Beverage Corporation","NNM","8640136","7017739","4485416","1.93",,
"2019-01-15","MO","Altria Group, Inc.","NYSE","16512052","18501906","11004363","1.50",,
"2019-01-15","MPC","MARATHON PETROLEUM CORPORATION","NYSE","9483140","9897401","6261537","1.51",,
"2019-01-15","MPWR","Monolithic Power Systems, Inc.","NNM","1888417","2060664","325798","5.80",,
"2019-01-15","MRK","Merck & Co., Inc.","NYSE","42215861","47235361","13470984","3.13",,
"2019-01-15","MRVL","Marvell Technology Group Ltd.","NNM","25309150","21530869","11511807","2.20",,
"2019-01-15","MS","Morgan Stanley","NYSE","13046865","15864654","11031394","1.18",,
"2019-01-15","MSFT","Microsoft Corporation Common S","NNM","58402379","55322262","33973306","1.72",,"R"
"2019-01-15","MSI","Motorola Solutions, Inc. New","NYSE","3786084","3568079","1159949","3.26",,
"2019-01-15","MU","Micron Technology, Inc. Common","NNM","61151228","54333105","33617559","1.82",,
"2019-01-15","NEE","Nextra Energy, Inc.","NYSE","5935795","6075454","2566166","2.31",,
"2019-01-15","NEM","Newmont Mining Corp.","NYSE","14419284","15672163","8792471","1.64",,
"2019-01-15","NFLX","Netflix, Inc. Common Stock","NNM","16029064","13853134","15794666","1.01",,
"2019-01-15","NKE","Nike, Inc.","NYSE","9366751","11847773","8192732","1.14",,
"2019-01-15","NOC","Northrop Grumman Corp.","NYSE","3044365","2796000","1134816","2.68",,
"2019-01-15","NOW","SERVICENOW, INC.","NYSE","11925222","11836631","2036969","5.85",,
"2019-01-15","NSC","Norfolk Southern Corp.","NYSE","8128889","6230224","2047180","3.97",,
"2019-01-15","NVDA","NVIDIA Corporation Common Stoc","NNM","18562030","18408484","16642490","1.12",,
"2019-01-15","ORCL","Oracle Corp","NYSE","46568962","44141539","16855869","2.76",,
"2019-01-15","ORLY","O'Reilly Automotive, Inc. Comm","NNM","1264629","1590206","809917","1.56",,
"2019-01-15","PANW","PALO ALTO NETWORKS, INC","NYSE","5216945","5335751","1087859","4.80",,
"2019-01-15","PCAR","PACCAR Inc. Common Stock","NNM","8129470","9082514","2417013","3.36",,
"2019-01-15","PEP","PepsiCo, Inc. Common Stock","NNM","8194853","10422628","6140750","1.33",,
"2019-01-15","PFE","Pfizer Inc.","NYSE","46873778","49740738","23446461","2.00",,
"2019-01-15","PG","Procter & Gamble Company","NYSE","20051111","22850142","9786534","2.05",,
"2019-01-15","PGR","Progressive Corporation","NYSE","9856302","11234271","2869741","3.43",,
"2019-01-15","PH","Parker Hannifin Corp","NYSE","2505820","2215335","977599","2.56",,
"2019-01-15","PLD","PROLOGIS, INC.","NYSE","6161986","6225269","2888562","2.13",,
"2019-01-15","PM","Philip Morris International In","NYSE","13030830","11175878","7204606","1.81",,
"2019-01-15","PNC","PNC Financial Services Group","NYSE","4033333","4381020","3084132","1.31",,
"2019-01-15","PSX","PHILLIPS 66","NYSE","6686001","6841900","2661558","2.51",,
"2019-01-15","PWR","Quanta Services, Inc.","NYSE","5853479","4607101","1493812","3.92",,
"2019-01-15","QCOM","QUALCOMM Incorporated Common S","NNM","54564188","62601166","12376285","4.41",,
