"settlementDate","symbolCode","issueName","marketClassCode","currentShortPositionQuantity","previousShortPositionQuantity","averageDailyVolumeQuantity","daysToCoverQuantity","stockSplitFlag","revisionFlag"
"2022-12-15","USB","U.S. Bancorp","NYSE","10395226","10902279","10597844","1.00",,
"2022-12-15","V","VISA Inc.","NYSE","32552930","37415733","7954301","4.09",,
"2022-12-15","VLO","Valero Energy Corporation","NYSE","11858159","10437658","4641417","2.55",,
"2022-12-15","VRT","Vertiv Holdings Co Class A Com","NYSE","12501501","11806112","2549719","4.90",,
"2022-12-15","VRTX","Vertex Pharmaceuticals Incorpo","NNM","3090053","2814627","1199484","2.58",,
"2022-12-15","VZ","Verizon Communications","NYSE","32024390","30525197","24658503","1.30",,
"2022-12-15","WBD","Warner Bros. Discovery, Inc. S","NNM","105183182","101606722","28266343","3.72",,
"2022-12-15","WDC","Western Digital Corporation Co","NNM","7398640","8667512","5621690","1.32",,
"2022-12-15","WELL","Welltower Inc.","NYSE","12431428","9689419","3833800","3.24",,
"2022-12-15","WFC","Wells Fargo & Co.","NYSE","26709246","29410179","22761193","1.17",,
"2022-12-15","WM","Waste Management, Inc.","NYSE","3851398","4010124","1564396","2.46",,
"2022-12-15","WMB","Williams Companies Inc.","NYSE","19663132","18349857","6756681","2.91",,
"2022-12-15","WMT","Walmart Inc.","NYSE","12820702","12820396","6890457","1.86",,
"2022-12-15","XOM","Exxon Mobil Corporation","NYSE","40903032","46241417","19118532","2.14",,
"2021-11-15","AAPL","Apple Inc. Common Stock","NNM","99688619","100495541","60492413","1.65",,
"2021-11-15","ABBV","ABBVIE INC.","NYSE","14088098","13622944","5285000","2.67",,
"2021-11-15","ABNB","Airbnb, Inc. Class A Common St","NNM","15091670","14611313","9174901","1.64",,
"2021-11-15","ABT","Abbott Laboratories","NYSE","10136654","11229276","5531232","1.83",,
"2021-11-15","ADBE","Adobe Inc. Common Stock","NNM","4143342","4960366","1733803","2.39",,
"2021-11-15","ADI","Analog Devices, Inc. Common St","NNM","7884010","9178579","2529134","3.12",,
"2021-11-15","ADP","Automatic Data Processing, Inc","NNM","4226756","4403631","1136645","3.72",,
"2021-11-15","AEP","American Electric Power Compan","NNM","5982115","5925827","2680364","2.23",,
"2021-11-15","AFL","Aflac Inc.","NYSE","13931653","14244386","2786856","5.00",,
"2021-11-15","AJG","Arthur J. Gallagher & Co.","NYSE","1759142","1973788","794066","2.22",,
"2021-11-15","ALL","The Allstate Corporation","NYSE","4326161","4465797","2167378","2.00",,
"2021-11-15","AMAT","Applied Materials, Inc. Common","NNM","12227767","11619352","6316843","1.94",,
"2021-11-15","AMD","Advanced Micro Devices, Inc. C","NNM","75487134","70190944","73844397","1.02",,
"2021-11-15","AMGN","Amgen Inc. Common Stock","NNM","11624960","11794912","2971243","3.91",,
"2021-11-15","AMT","American Tower Corporation","NYSE","4089596","4425625","1384074","2.95",,
"2021-11-15","AMZN","Amazon.com, Inc. Common Stock","NNM","4226657","4465313","3548113","1.19",,
"2021-11-15","ANET","Arista Networks","NYSE","958418","1255463","886914","1.08",,
"2021-11-15","AON","Aon plc Class A","NYSE","5611889","6181535","1428635","3.93",,
"2021-11-15","APD","Air Products & Chemicals, Inc.","NYSE","2652071","2361400","1223800","2.17",,
"2021-11-15","APH","Amphenol Corporation","NYSE","6499615","6105043","1944755","3.34",,
"2021-11-15","APO","Apollo Global Management, Inc.","NYSE","22568713","22086161","2343906","9.63",,
"2021-11-15","APP","Applovin Corporation Class A C","NNM","4984824","4947968","2361844","2.11",,
"2021-11-15","AVGO","Broadcom Inc. Common Stock","NNM","5112042","5090996","1580372","3.23",,
"2021-11-15","AXP","American Express Company","NYSE","11690189","15512491","2976111","3.93",,
"2021-11-15","BA","Boeing Company","NYSE","7844347","8884957","9299406","1.00",,
"2021-11-15","BAC","Bank of America Corporation","NYSE","99074120","89607979","38417370","2.58",,
"2021-11-15","BKNG","Booking Holdings Inc. Common S","NNM","531179","668313","402772","1.32",,
"2021-11-15","BLK","Blackrock, Inc.","NYSE","1554308","1611619","390847","3.98",,
"2021-11-15","BMY","Bristol-Myers Squibb Co.","NYSE","20256733","22398028","10712735","1.89",,
"2021-11-15","BNY","BlackRock New York Municipal I","NYSE","27133","44904","47224","1.00",,
"2021-11-15","BRKA","Berkshire Hathaway Inc.","NYSE","455","397","1833","1.00",,
"2021-11-15","BRKB","BERKSHIRE HATHAWAY Class B","NYSE","9100315","10078840","3386181","2.69",,
"2021-11-15","BSX","Boston Scientific Corp.","NYSE","15712494","21219081","9028390","1.74",,
"2021-11-15","BX","Blackstone Inc.","NYSE","6258125","7522505","3203235","1.95",,
"2021-11-15","C","Citigroup Inc.","NYSE","37063691","37460852","20864230","1.78",,
"2021-11-15","CAT","Caterpillar Inc.","NYSE","6341495","5722799","3333048","1.90",,
"2021-11-15","CCZ","Comcast Holdings Corp. 2.0% Ex","NYSE","964","928","158","6.10",,
"2021-11-15","CDNS","Cadence Design Systems, Inc. C","NNM","2668234","2670671","968364","2.76",,
"2021-11-15","CI","CIGNA Corporation","NYSE","3896980","4242113","2093287","1.86",,
"2021-11-15","CL","Colgate-Palmolive Company","NYSE","9356405","8917294","3507995","2.67",,
"2021-11-15","CMCSA","Comcast Corporation Class A Co","NNM","68061013","68127973","14560853","4.67",,
"2021-11-15","CME","CME Group Inc. Class A Common","NNM","4575662","4769999","1118269","4.09",,
"2021-11-15","CMI","Cummins Inc.","NYSE","2315872","2308364","824532","2.81",,
"2021-11-15","COF","Capital One Financial","NYSE","5549181","4088637","2509330","2.21",,
"2021-11-15","COP","ConocoPhillips","NYSE","16159909","16753111","7954292","2.03",,
"2021-11-15","COST","Costco Wholesale Corporation C","NNM","4264800","4401466","1847486","2.31",,
"2021-11-15","CRM","salesforce.com, inc.","NYSE","14778035","17173531","3748206","3.94",,
"2021-11-15","CRWD","CrowdStrike Holdings, Inc. Cla","NNM","11225885","11363807","3517180","3.19",,
"2021-11-15","CSCO","Cisco Systems, Inc. Common Sto","NNM","39643903","41416078","16649761","2.38",,
"2021-11-15","CSX","CSX Corporation Common Stock","NNM","23209767","24732440","9917499","2.34",,
"2021-11-15","CTAS","Cintas Corporation Common Stoc","NNM","1034447","985178","269543","3.84",,
"2021-11-15","CVNA","Carvana Co.","NYSE","13053025","13184978","1171530","11.14",,
"2021-11-15","CVS","CVS HEALTH CORPORATION","NYSE","14734202","16065390","6499066","2.27",,
"2021-11-15","CVX","Chevron Corporation","NYSE","17725399","19853950","9508385","1.86",,
"2021-11-15","D","Dominion Energy, Inc Common St","NYSE","6054836","5762081","2998399","2.02",,
"2021-11-15","DASH","DoorDash, Inc.","NYSE","14040641","11745190","4710100","2.98",,
"2021-11-15","DDOG","Datadog, Inc. Class A Common S","NNM","10998309","10852002","3369466","3.26",,
"2021-11-15","DE","Deere & Company","NYSE","2075316","1655890","1476428","1.41",,
"2021-11-15","DELL","Dell Technologies Inc.","NYSE","8245553","7762070","6684621","1.23",,
"2021-11-15","DHR","Danaher Corporation","NYSE","5208185","6041939","2968975","1.75",,
"2021-11-15","DIS","The Walt Disney Company","NYSE","22380668","21860966","16760733","1.34",,
"2021-11-15","DLR","Digital Realty Trust, Inc.","NYSE","9458240","9445213","1036118","9.13",,
"2021-11-15","DUK","Duke Energy Corporation","NYSE","6479823","6025303","2441966","2.65",,
"2021-11-15","ECL","Ecolab, Inc.","NYSE","2254632","2194229","914623","2.47",,
"2021-11-15","EMR","Emerson Electric Co.","NYSE","4544127","5549591","2566601","1.77",,
