"settlementDate","symbolCode","issueName","marketClassCode","currentShortPositionQuantity","previousShortPositionQuantity","averageDailyVolumeQuantity","daysToCoverQuantity","stockSplitFlag","revisionFlag"
"2024-01-12","SHW","The Sherwin-Williams Company","NYSE","2374416","2457077","1657961","1.43",,
"2024-01-12","SNOW","Snowflake Inc.","NYSE","11119857","11218747","4543940","2.45",,
"2024-01-12","SNPS","Synopsys, Inc. Common Stock","NNM","2797583","2322053","1447313","1.93",,
"2024-01-12","SO","The Southern Company","NYSE","13166162","12392515","3875952","3.40",,
"2024-01-12","SPCX","The SPAC and New Issue ETF","NNM","8449","11835","1006","8.40",,
"2024-01-12","SPG","Simon Property Group, Inc.","NYSE","4351432","4597063","1307185","3.33",,
"2024-01-12","SPGI","S&P Global Inc.","NYSE","3173217","3742285","1007099","3.15",,
"2024-01-12","SYK","Stryker Corporation","NYSE","4741137","4897526","1211097","3.91",,
"2024-01-12","T","AT&T Inc.","NYSE","90884033","90370167","37832839","2.40",,
"2024-01-12","TDG","TransDigm Group Incorporated","NYSE","1116665","1067630","216808","5.15",,
"2024-01-12","TFC","Truist Financial Corporation","NYSE","17829219","18246990","8811645","2.02",,
"2024-01-12","TGT","Target Corporation","NYSE","8207241","8536810","3374316","2.43",,
"2024-01-12","TJX","TJX Companies, Inc. (The)","NYSE","10931416","10751688","4522191","2.42",,
"2024-01-12","TMO","Thermo Fisher Scientific, Inc.","NYSE","2923490","2928211","2129934","1.37",,
"2024-01-12","TMUS","T-Mobile US, Inc. Common Stock","NNM","25243088","24476984","4179191","6.04",,
"2024-01-12","TRV","The Travelers Companies, Inc.","NYSE","2795717","2598682","1463569","1.91",,
"2024-01-12","TSLA","Tesla, Inc. Common Stock","NNM","80466304","86666279","102259321","1.00",,
"2024-01-12","TXN","Texas Instruments Incorporated","NNM","15464752","15292711","5021735","3.08",,
"2024-01-12","UBER","Uber Technologies, Inc.","NYSE","71706293","84708352","26846839","2.67",,
"2024-01-12","UNH","UNITEDHEALTH GROUP INCORPORATE","NYSE","6255636","6526468","3196041","1.96",,
"2024-01-12","UNP","Union Pacific Corp.","NYSE","4759729","7657372","2281935","2.09",,
"2024-01-12","UPS","United Parcel Service, Inc. Cl","NYSE","12160224","11628143","3072998","3.96",,
"2024-01-12","URI","United Rentals, Inc.","NYSE","3738924","3894357","542301","6.89",,
"2024-01-12","USB","U.S. Bancorp","NYSE","24958143","22666091","7775883","3.21",,
"2024-01-12","V","VISA Inc.","NYSE","30472784","30330403","4837414","6.30",,
"2024-01-12","VLO","Valero Energy Corporation","NYSE","8956542","9617167","2741050","3.27",,
"2024-01-12","VRT","Vertiv Holdings Co Class A Com","NYSE","13516356","14910414","4371205","3.09",,
"2024-01-12","VRTX","Vertex Pharmaceuticals Incorpo","NNM","3353775","3256021","1207989","2.78",,
"2024-01-12","VZ","Verizon Communications","NYSE","45621516","38956834","24149842","1.89",,
"2024-01-12","WBD","Warner Bros. Discovery, Inc. S","NNM","86210416","84842149","19751170","4.36",,
"2024-01-12","WDC","Western Digital Corporation Co","NNM","15416314","13308707","4509406","3.42",,
"2024-01-12","WELL","Welltower Inc.","NYSE","6452238","7566338","1969504","3.28",,
"2024-01-12","WFC","Wells Fargo & Co.","NYSE","30721553","29729482","17739987","1.73",,
"2024-01-12","WM","Waste Management, Inc.","NYSE","4600933","4445095","1354162","3.40",,
"2024-01-12","WMB","Williams Companies Inc.","NYSE","16938868","18480140","7073940","2.39",,
"2024-01-12","WMT","Walmart Inc.","NYSE","12375340","11403285","6496192","1.91",,
"2024-01-12","XOM","Exxon Mobil Corporation","NYSE","87078979","82048939","19682698","4.42",,
"2023-11-15","AAPL","Apple Inc. Common Stock","NNM","105837123","98190963","60959948","1.74",,
"2023-11-15","ABBV","ABBVIE INC.","NYSE","11146141","13234197","5762024","1.93",,
"2023-11-15","ABNB","Airbnb, Inc. Class A Common St","NNM","25034247","29161973","7310318","3.42",,
"2023-11-15","ABT","Abbott Laboratories","NYSE","12082065","9882343","5510972","2.19",,
"2023-11-15","ADBE","Adobe Inc. Common Stock","NNM","5261064","4029392","2774712","1.90",,"R"
"2023-11-15","ADI","Analog Devices, Inc. Common St","NNM","7045111","6288931","3398980","2.07",,
"2023-11-15","ADP","Automatic Data Processing, Inc","NNM","4438043","4244830","1731129","2.56",,
"2023-11-15","AEP","American Electric Power Compan","NNM","6445713","5542307","3803881","1.69",,
"2023-11-15","AFL","Aflac Inc.","NYSE","11339403","11311665","2471741","4.59",,"R"
"2023-11-15","AJG","Arthur J. Gallagher & Co.","NYSE","2271469","1936902","931579","2.44",,
"2023-11-15","ALL","The Allstate Corporation","NYSE","3191381","3742773","1596025","2.00",,
