"settlementDate","symbolCode","issueName","marketClassCode","currentShortPositionQuantity","previousShortPositionQuantity","averageDailyVolumeQuantity","daysToCoverQuantity","stockSplitFlag","revisionFlag"
"2026-07-15","AAPL","Apple Inc. Common Stock","NNM","146547784","140526320","47952794","3.06",,
"2026-07-15","ABBV","ABBVIE INC.","NYSE","22632412","21899078","6559915","3.45",,
"2026-07-15","ABNB","Airbnb, Inc. Class A Common St","NNM","13994933","14889750","3150865","4.44",,
"2026-07-15","ABT","Abbott Laboratories","NYSE","24846147","23387895","11611821","2.14",,
"2026-07-15","ADBE","Adobe Inc. Common Stock","NNM","20264951","19612201","5344526","3.79",,
"2026-07-15","ADI","Analog Devices, Inc. Common St","NNM","10464738","12030161","3835989","2.73",,
"2026-07-15","ADP","Automatic Data Processing, Inc","NNM","14436618","14867435","2086623","6.92",,
"2026-07-15","AEP","American Electric Power Compan","NNM","32904126","36014039","4806039","6.85",,
"2026-07-15","AFL","Aflac Inc.","NYSE","12496303","12583956","1687779","7.40",,
"2026-07-15","AJG","Arthur J. Gallagher & Co.","NYSE","7990928","6819347","1856609","4.30",,
"2026-07-15","ALL","The Allstate Corporation","NYSE","8170470","8241088","1750488","4.67",,
"2026-07-15","AMAT","Applied Materials, Inc. Common","NNM","16703697","19913996","10093729","1.65",,
"2026-07-15","AMD","Advanced Micro Devices, Inc. C","NNM","39768152","41583210","25582906","1.55",,
"2026-07-15","AMGN","Amgen Inc. Common Stock","NNM","12845008","12870865","2018823","6.36",,
"2026-07-15","AMT","American Tower Corporation","NYSE","7640281","7656891","3083594","2.48",,
"2026-07-15","AMZN","Amazon.com, Inc. Common Stock","NNM","106566350","100349673","38648773","2.76",,
"2026-07-15","ANET","Arista Networks","NYSE","19887856","21632457","8859221","2.24",,
"2026-07-15","AON","Aon plc Class A","NYSE","4554648","3695856","1126077","4.04",,
"2026-07-15","APD","Air Products & Chemicals, Inc.","NYSE","4189475","4030709","1313147","3.19",,
"2026-07-15","APH","Amphenol Corporation","NYSE","16508135","15988270","6585269","2.51",,
"2026-07-15","APO","Apollo Global Management, Inc.","NYSE","29180717","31282725","4729447","6.17",,
"2026-07-15","APP","Applovin Corporation Class A C","NNM","12561495","12114286","5691878","2.21",,
"2026-07-15","AVGO","Broadcom Inc. Common Stock","NNM","68638929","70123497","22758366","3.02",,
"2026-07-15","AXP","American Express Company","NYSE","11492443","10839567","3031101","3.79",,
"2026-07-15","BA","Boeing Company","NYSE","14686375","13625059","4552042","3.23",,
"2026-07-15","BAC","Bank of America Corporation","NYSE","96837373","90912451","33012469","2.93",,
"2026-07-15","BKNG","Booking Holdings Inc. Common S","NNM","22805449","29767945","6400258","3.56",,
"2026-07-15","BLK","Blackrock, Inc.","NYSE","2095185","2073854","808320","2.59",,
"2026-07-15","BMY","Bristol-Myers Squibb Co.","NYSE","44935362","40531289","10603478","4.24",,
"2026-07-15","BNY","Bank of New York Mellon Corpor","NYSE","7485111","7562786","3930181","1.90",,
"2026-07-15","BRKA","Berkshire Hathaway Inc.","NYSE","183","168","167","1.10",,
"2026-07-15","BRKB","BERKSHIRE HATHAWAY Class B","NYSE","13030468","12987527","3941178","3.31",,
"2026-07-15","BSX","Boston Scientific Corp.","NYSE","28281040","27938624","16776824","1.69",,
"2026-07-15","BX","Blackstone Inc.","NYSE","23614025","23138068","3892386","6.07",,
"2026-07-15","C","Citigroup Inc.","NYSE","28765148","27205962","14035931","2.05",,
"2026-07-15","CAT","Caterpillar Inc.","NYSE","8054245","9052419","2868137","2.81",,
"2026-07-15","CDNS","Cadence Design Systems, Inc. C","NNM","6187380","6034189","1516231","4.08",,
"2026-07-15","CEG","Constellation Energy Corporati","NNM","10654877","12153531","3512945","3.03",,
"2026-07-15","CI","The Cigna Group","NYSE","6178422","6226238","1432328","4.31",,
"2026-07-15","CL","Colgate-Palmolive Company","NYSE","16716514","17529142","4332104","3.86",,
"2026-07-15","CMCSA","Comcast Corporation Class A Co","NNM","85090590","88032735","32598857","2.61",,
"2026-07-15","CME","CME Group Inc. Class A Common","NNM","5837310","6011422","3110735","1.88",,
"2026-07-15","CMI","Cummins Inc.","NYSE","2352281","2457427","807732","2.91",,
"2026-07-15","COF","Capital One Financial","NYSE","12880294","11748005","4052003","3.18",,
"2026-07-15","COP","ConocoPhillips","NYSE","20698828","19181879","6586037","3.14",,
"2026-07-15","COST","Costco Wholesale Corporation C","NNM","6957664","7284892","2532106","2.75",,
"2026-07-15","CRM","Salesforce, Inc.","NYSE","46465690","50636166","12114051","3.84",,
"2026-07-15","CRWD","CrowdStrike Holdings, Inc. Cla","NNM","27450228","7135732","9372073","2.93","S",
"2026-07-15","CSCO","Cisco Systems, Inc. Common Sto","NNM","64824369","53800162","22179760","2.92",,
"2026-07-15","CSX","CSX Corporation Common Stock","NNM","36965072","38966330","10143094","3.64",,
