as_of_date,horizon_days,state,sample_size,tail_loss_frequency,mean_forward_return,fifth_percentile_forward_return,latest_label_available_date
2026-05-29,5,all,25644,0.049446264233348934,0.0013094611285629969,-0.029514832094826842,2026-05-29
2026-05-29,5,normal,21147,0.03598619189483142,0.0018292212066909255,-0.02469979643056102,2026-05-29
2026-05-29,5,bear_low_volatility,3116,0.06707317073170732,-8.851123559943637e-05,-0.037337608602729264,2024-01-12
2026-05-29,5,panic_elevated,1381,0.21578566256335988,-0.003495234371394403,-0.07832686019796914,2020-04-13
2026-05-29,20,all,25629,0.05048967965976043,0.0053568136994286576,-0.058664689572077704,2026-05-29
2026-05-29,20,normal,21132,0.03359833427976529,0.00752694996630846,-0.046437187048565205,2026-05-29
2026-05-29,20,bear_low_volatility,3116,0.08151476251604621,-0.0012286693647416457,-0.07912790669110281,2024-02-05
2026-05-29,20,panic_elevated,1381,0.2389572773352643,-0.012991451589310917,-0.18166842293467436,2020-05-04
