as_of_date,horizon_days,state,sample_size,tail_loss_frequency,mean_forward_return,fifth_percentile_forward_return,latest_label_available_date
2024-01-05,5,all,25044,0.049592716818399614,0.0012452604935941389,-0.029581920954410285,2024-01-05
2024-01-05,5,normal,20550,0.03576642335766423,0.001770962901989768,-0.02466940624552808,2024-01-05
2024-01-05,5,bear_low_volatility,3113,0.06713780918727916,-0.00012208967793846725,-0.037346062913671776,2023-12-19
2024-01-05,5,panic_elevated,1381,0.21578566256335988,-0.003495234371394403,-0.07832686019796914,2020-04-13
2024-01-05,20,all,25029,0.051340445083702904,0.005121954836880242,-0.059398423970290194,2024-01-05
2024-01-05,20,normal,20538,0.03413185315025806,0.007313760707844549,-0.046874385735842926,2024-01-05
2024-01-05,20,bear_low_volatility,3110,0.08167202572347267,-0.0013091367075875918,-0.07915407821764413,2024-01-04
2024-01-05,20,panic_elevated,1381,0.2389572773352643,-0.012991451589310917,-0.18166842293467436,2020-05-04
