leg,expected_names,covered_names,coverage_ratio,coverage_status,missing_symbols,acquisition_complete,feasibility_status
long,10,8,0.8,normal,"[""LITE"",""COHR""]",True,assessable
short,10,7,0.7,degraded,"[""ZTS"",""CSGP"",""FISV""]",True,assessable
