scope,horizon_days,baseline,split_id,feature,imputer_median,scaler_mean_after_imputation,scaler_scale_after_imputation,missing_train,missing_test
development,5,B2,dev_02,mom_return_63d,0.021390416557,0.0212320473819,0.0865474584244,0,0
development,5,B2,dev_02,mom_return_126d,0.0471308079439,0.0445685086964,0.128028262762,0,0
development,5,B2,dev_02,mom_drawdown_252d,-0.0424504903458,-0.0872138855317,0.123518670902,0,0
development,5,B2,dev_02,mom_vol_21d,0.00493603127197,0.00682772238532,0.00556704210647,0,0
development,5,B2,dev_02,mom_vol_63d,0.00517428573294,0.00707035171439,0.00538198943187,0,0
development,5,B2,dev_02,vix_close,19.09,20.5644929628,8.27848449125,3,0
development,5,B2,dev_02,mkt_return_504d,0.254787394816,0.22669227227,0.282063725687,0,0
development,5,B2,dev_02,bear_state,0,0.204438830747,0.403290956048,0,0
development,5,B2,dev_02,mkt_variance_126d,7.48955073016e-05,0.000135201792621,0.000177258997524,0,0
development,5,B2,dev_02,bear_x_mkt_variance_126d,0,6.58652752372e-05,0.000188329412712,0,0
development,5,B2,dev_02,mkt_vol_percentile_126d,0.637534950217,0.61235130031,0.262723635829,0,0
development,5,B2,dev_02,mkt_return_1d,0.0007,0.000388794658968,0.0117637870629,0,0
development,5,B2,dev_02,mkt_return_5d,0.00326567665363,0.00190622866524,0.024922648715,0,0
development,5,B2,dev_02,mkt_return_20d,0.012617121927,0.0075121440755,0.0470176042625,0,0
development,5,B2,dev_02,stress_rebound,0,0.00243919499133,0.0101139678595,0,0
development,5,B2,dev_02,loser_leg_return_5d,0.00207545974282,0.00150764857688,0.0355773482657,0,0
development,5,B2,dev_02,loser_leg_return_20d,0.00880614393049,0.00635528069111,0.075924247671,0,0
development,5,B2,dev_02,loser_leg_vol_21d,0.00802166585809,0.0116679232878,0.00970420857286,0,0
development,5,B2,dev_02,loser_minus_winner_vol_21d,-0.000857376787726,0.000862715703244,0.00644594454858,0,0
development,5,B2,dev_02,formation_spread,0.185946529905,0.138585767504,0.329555725592,0,0
development,5,B2,dev_02,mom_mkt_beta_126d,0.158016902824,0.0649555520368,0.384699250791,0,0
development,5,B2,dev_02,mom_mkt_corr_126d,0.31417288786,0.158214800865,0.48314647944,0,0
development,5,B2,dev_02,beta_change_21d,-0.00315399570535,-0.00145380030833,0.0902425876115,0,0
development,20,B1,dev_00,bear_state,0,0,1,0,0
development,20,B1,dev_00,mkt_variance_126d,5.2346895873e-05,6.93761230341e-05,5.11979620903e-05,0,0
development,20,B1,dev_00,bear_x_mkt_variance_126d,0,0,1,0,0
development,20,B2,dev_00,mom_return_21d,0.00982008916377,0.0104147767714,0.0315212743947,0,0
development,20,B2,dev_00,mom_return_63d,0.0243505406215,0.0310066243367,0.0589967722792,0,0
development,20,B2,dev_00,mom_return_126d,0.052504755132,0.0611869548513,0.0802967519675,0,0
development,20,B2,dev_00,mom_drawdown_252d,-0.0204244726526,-0.0372409195541,0.0404611849075,0,0
development,20,B2,dev_00,mom_vol_21d,0.00380822708389,0.00414823709059,0.00192079472784,0,0
development,20,B2,dev_00,mom_vol_63d,0.00387282628779,0.00430565116916,0.00168963859995,0,0
