as_of_date,monitor_family,metric,current_value,threshold,threshold_provenance,direction,triggered,severity,status,explanation,context,source_module
2026-06-30,macro,high_volatility_recovery,,1.0,demo_threshold,greater_than_or_equal,,unavailable,unavailable,"One composite macro gate replaces separate drawdown, recovery, and volatility alerts. It requires Phase 1 early recovery and high realized volatility to be true together.","{""early_recovery_state"":null,""high_volatility"":null,""market_drawdown"":null,""realized_volatility_21d"":null,""realized_volatility_threshold_80pct"":null,""recent_min_drawdown_126d"":null,""recovery_from_trough_126d"":null}",src.regime.market_state
2026-06-30,leg_exposure,short_minus_long_beta_gap,-2.338909721444191,0.24721795202227598,historical_quantile,greater_than_or_equal,False,normal,available,Positive and unusually high short-underlying minus long beta indicates that a market rebound can squeeze the recent-loser leg. Threshold: prior-only 80th percentile from 2302 observations; raw historical threshold=0.247218.,"{""long_beta_126d"":2.74564689780146,""portfolio_beta_126d"":2.3389097214441907,""short_underlying_beta_126d"":0.40673717635726897}",src.risk.leg_decomposition
2026-06-30,portfolio_loss,portfolio_drawdown,-0.10502547149309627,-0.1719900887412792,historical_quantile,less_than_or_equal,False,normal,available,"Long-short wealth relative to its highest level in the prior 63 trading days is compared with its own prior-only left-tail history. The threshold can never be looser than -20%, and drawdowns shallower than 5% are not material. Threshold: prior-only 20th percentile from 2302 observations; raw historical threshold=-0.17199.","{""drawdown_window_trading_days"":63,""gross_exposure"":2.0,""membership_status"":""current_snapshot_proxy"",""since_inception_portfolio_drawdown"":-0.10502547149309627,""survivorship_bias"":true}",src.monitoring.scorecard + src.risk.leg_decomposition
2026-06-30,recovery_mechanism,short_loss_in_recovery,0.18363740338961043,0.2493993582550193,historical_quantile,greater_than_or_equal,,unavailable,unavailable,Trailing 21-day short loss magnitude is the sum of negative signed short contributions. It triggers only when Phase 1 early recovery is active and the loss reaches the threshold. Threshold: prior-only 80th percentile from 2344 observations; raw historical threshold=0.249399.,"{""early_recovery_state"":null,""high_volatility_recovery_state"":null,""short_contribution_trailing_window"":0.11843747650178016,""window_trading_days"":21}",src.monitoring.scorecard + src.risk.leg_decomposition + src.regime.market_state
