as_of_date,monitor_family,metric,current_value,threshold,threshold_provenance,direction,triggered,severity,status,explanation,context,source_module
2026-05-29,macro,high_volatility_recovery,0.0,1.0,demo_threshold,greater_than_or_equal,False,normal,available,"One composite macro gate replaces separate drawdown, recovery, and volatility alerts. It requires Phase 1 early recovery and high realized volatility to be true together.","{""early_recovery_state"":false,""high_volatility"":false,""market_drawdown"":0.0,""realized_volatility_21d"":0.10603009006881499,""realized_volatility_threshold_80pct"":0.18146677048568394,""recent_min_drawdown_126d"":-0.09457141603482766,""recovery_from_trough_126d"":0.1943410361538216}",src.regime.market_state
2026-05-29,leg_exposure,short_minus_long_beta_gap,-2.067731776337184,0.24897918694136156,historical_quantile,greater_than_or_equal,False,normal,available,Positive and unusually high short-underlying minus long beta indicates that a market rebound can squeeze the recent-loser leg. Threshold: prior-only 80th percentile from 2281 observations; raw historical threshold=0.248979.,"{""long_beta_126d"":2.572822625616927,""portfolio_beta_126d"":2.067731776337184,""short_underlying_beta_126d"":0.5050908492797432}",src.risk.leg_decomposition
2026-05-29,portfolio_loss,portfolio_drawdown,-0.07522682931760427,-0.17408140972421293,historical_quantile,less_than_or_equal,False,normal,available,"Long-short wealth relative to its highest level in the prior 63 trading days is compared with its own prior-only left-tail history. The threshold can never be looser than -20%, and drawdowns shallower than 5% are not material. Threshold: prior-only 20th percentile from 2281 observations; raw historical threshold=-0.174081.","{""drawdown_window_trading_days"":63,""gross_exposure"":2.0,""membership_status"":""current_snapshot_proxy"",""since_inception_portfolio_drawdown"":-0.07522682931760427,""survivorship_bias"":true}",src.monitoring.scorecard + src.risk.leg_decomposition
2026-05-29,recovery_mechanism,short_loss_in_recovery,0.15507930926767552,0.25042021587620455,historical_quantile,greater_than_or_equal,False,normal,available,Trailing 21-day short loss magnitude is the sum of negative signed short contributions. It triggers only when Phase 1 early recovery is active and the loss reaches the threshold. Threshold: prior-only 80th percentile from 2323 observations; raw historical threshold=0.25042.,"{""early_recovery_state"":false,""high_volatility_recovery_state"":false,""short_contribution_trailing_window"":-0.035422016402520844,""window_trading_days"":21}",src.monitoring.scorecard + src.risk.leg_decomposition + src.regime.market_state
